dpmid_xt_review_summary_reviewbody_all.shoptype	dpmid_xt_review_summary_reviewbody_all.cat1_id	dpmid_xt_review_summary_reviewbody_all.cat2_id	dpmid_xt_review_summary_reviewbody_all.cat3_id	dpmid_xt_review_summary_reviewbody_all.city_id	dpmid_xt_review_summary_reviewbody_all.shop_id	dpmid_xt_review_summary_reviewbody_all.source	dpmid_xt_review_summary_reviewbody_all.review_id	dpmid_xt_review_summary_reviewbody_all.reviewbody	dpmid_xt_review_summary_reviewbody_all.addtime	dpmid_xt_review_summary_reviewbody_all.updatetime	dpmid_xt_review_summary_reviewbody_all.hp_cal_dt
10	110	3027	NULL	1	23022705	DIANPING	211150076	挺好吃，干净味美，服务也挺好，鱼是现杀的活鱼，土腥味几乎没有，好评！	2015-12-23 08:53:13	2015-12-23 08:53:13	2017-10-22
10	110	3027	NULL	1	23022705	DIANPING	226870722	酸菜鱼味道还是不错哒~里面还有点宽粉，好吃。素鲍鱼一般般。	2016-02-01 22:51:23	2016-02-01 22:51:23	2017-10-22
10	110	3027	NULL	1	23022705	DIANPING	244975693	最近脑子里一直都是酸菜鱼…这家店的味道还是比较符合怀孕后我的口味的！店不是特别大，但挺干净的！鱼只有黑鱼一直，不过料理得还不错！	2016-04-02 02:44:10	2016-04-02 02:44:10	2017-10-22
10	110	3027	NULL	1	23022705	DIANPING	251504653	一般，还可以吧……吃过更好吃的……	2016-04-24 10:16:34	2016-04-24 10:16:34	2017-10-22
10	110	3027	NULL	1	23022705	DIANPING	254527726	综合评价给四星 周日到店5点半 然后等位大概40分钟 等位20分钟以上会送菜品黑鱼是2斤8两 另点了娃娃菜 炸豆皮 和牛油飞饼酸菜鱼锅里还有宽粉和白萝卜 量还是可以的 两个人完全够了 如果有男孩再点个牛肉之类的 鱼肉很嫩 微微有点腥 因为鱼皮在 整个鱼头也会一并放在锅里...一定要尝试的是飞饼 微油但真的很好吃服务员也会提醒你菜量差不多了 整体服务还是满意 喜欢吃鱼的朋友可以来尝试一下 记得提早预约噢	2016-05-03 13:59:33	2016-05-03 13:59:33	2017-10-22
10	110	3027	NULL	1	23022705	DIANPING	340161732	好朋友推荐的一家店、位置在中山公园地铁5号口出来这边、大概需要走5分钟路程这家真的很火爆啊、周末下午1:50到的、居然这个时间还需要等位！据说中午和晚上都要等好久、如果可以预约的话、一定提前预约吧#酸菜鱼# 确实很好吃、只有黑鱼一种，切的很薄、而且很嫩、口感很好！里面还有萝卜、宽粉、豆芽、汤也很好喝、酸酸的很开胃、真的很棒。#印度抛饼#点的榴莲味、这个跟正宗的抛饼比还是差一点、榴莲味道不太浓郁、也还好。#脑花# 之前吃脑花都是吃辣的、或者在麻辣火锅里面涮的、刚开始还怕在酸汤里不能太好吃、结果味道也还不错的、自己吃了大半盘脑花。服务：刚上菜的时候服务生只给上了一份蘸料、我们点了两份、服务生比较忙、催了五次左右才给上另一份、我们也没说什么。过一会有一位服务员过来给了两瓶加多宝、说不好意思、刚从酱料上的太慢了、我们还有点小感动、起码态度不错的、冲这点也还会再来的！	2017-03-30 17:14:37	2017-03-30 17:14:37	2017-10-22
10	110	3027	NULL	1	23022705	DIANPING	363023904	抽中100元的免单券，大热天和朋友骑单车过去的。其实就在地铁2号线中山公园5号口出来，走到定西路右转就能看到这幢大厦（巴黎春天对面）很好找。点了2.5斤的黑鱼，2个蔬菜，1碗白饭，总价144元，门口贴着试营业期间全场6.8折，因为用券不能打折，所以付了44元的零头。来说说口味，其实现在外面的酸菜鱼很多，吃出来的味道也差不多太多，就看哪家实惠了，2个人吃个午饭也要60元那肯定吃这个现烧的鱼好吃咯，6.8折2个人吃条鱼差不多在100元还是核算的，下次再约了去吃。	2017-08-10 13:51:06	2017-08-10 13:51:06	2017-10-22
10	110	3027	NULL	1	23022705	DIANPING	373598373	中山公园附近的白素我家酸菜鱼，环境很不错，还有临街的观光位，整体上很舒适，中午客流较大，但座位一般还是有的。几乎现在的酸菜鱼都是来自四川的做法，现在讲究活鱼现称现杀，上桌是热腾腾一大盆，鲜香白嫩，吃几口，口齿留香，味道堪称一绝。还推荐几个菜不错，老牌的口水鸡，鸡皮嫩而有弹性，优质嫩并且细腻，调料很正宗。新版夫妻肺片，也相当不错，量蛮多，麻辣味比较重，口感很好。特别值得推荐的是奶豆腐，真的很好吃，吃火锅，我觉得很配，甜而不腻，非常的凉快和爽口，有点像冰淇淋，但没有甜品那么多的脂肪含量，它90%主要是嫩豆腐，品相也很好，是一款不错的选择。	2017-10-06 08:58:02	2017-10-06 08:58:02	2017-10-22
10	110	3027	NULL	1	23022705	DIANPING	194356897	味道还不错哦 还挺实惠的 黑鱼味道不错	2015-11-05 10:41:36	2015-11-05 10:41:36	2017-10-22
10	110	3027	NULL	1	23022705	DIANPING	259321094	这里的酸菜鱼是我吃过最好吃的酸菜鱼了，环境也不错，那酸爽哈哈赞一个	2016-05-18 11:25:46	2016-05-18 11:25:46	2017-10-22
